report_id,duplicate_of,observed_winner,predicted_winner,winner_match,observed_turns,observed_turns_min,observed_turns_max,predicted_turns,turn_error,turn_match,observed_attacker_survivors,predicted_attacker_survivors,attacker_survivor_error,observed_defender_survivors,predicted_defender_survivors,defender_survivor_error,survivor_match
NanoMart_SetA_1v1_T1InfvT1Inf_Vulcanus_SeoYoonlvl3,,defender,attacker,False,264,262,264,202,-60,False,0,1,1,1,0,-1,False
NanoMart_SetA_1v1_T3InfvT2Inf_SeoYoonlvl3_Vulcanus,,attacker,attacker,True,188,187,189,63,-124,False,1,1,0,0,0,0,True
NanoMart_SetA_1v1_T4InfvT2Inf_SeoYoonlvl3_Vulcanus,,attacker,attacker,True,144,142,144,45,-97,False,1,1,0,0,0,0,True
NanoMart_SetA_1v1_T5InfvT1Inf_SeoYoonlvl3_Vulcanus,,attacker,attacker,True,68,67,69,31,-36,False,1,1,0,0,0,0,True
NanoMart_SetA_1v1_T5InfvT2Inf_SeoYoonlvl3_Vulcanus,,attacker,attacker,True,120,118,120,35,-83,False,1,1,0,0,0,0,True
NanoMart_SetA_1v1_T6InfvT2Inf_SeoYoonlvl3_Vulcanus,,attacker,attacker,True,102,100,102,29,-71,False,1,1,0,0,0,0,True
NanoMart_SetA_1v1_T6InfvT2Inf_SeoYoonlvl3_Vulcanus_Duplicate2,NanoMart_SetA_1v1_T6InfvT2Inf_SeoYoonlvl3_Vulcanus,attacker,attacker,True,102,100,102,29,-71,False,1,1,0,0,0,0,True
NanoMart_SetB_1v1_T1InfvT1Inf_NoAttackerHero_Vulcanus,,defender,defender,True,270,268,270,202,-66,False,0,0,0,1,1,0,True
NanoMart_SetB_1v1_T1InfvT1Inf_Vulcanus_SeoYoonlvl3,NanoMart_SetA_1v1_T1InfvT1Inf_Vulcanus_SeoYoonlvl3,defender,attacker,False,264,262,264,202,-60,False,0,1,1,1,0,-1,False
NanoMart_SetB_1v1_T1LanvT1Lan_NoAttackerHero_Vulcanus,,defender,mutual_wipe,False,30,28,30,13,-15,False,0,0,0,1,0,-1,False
NanoMart_SetC_1v3_T1InfvT1Inf_SeoYoonlvl3_Vulcanus,,defender,defender,True,156,154,156,114,-40,False,0,0,0,3,3,0,True
NanoMart_SetC_1v5_T1InfvT1Inf_SeoYoonlvl3_Vulcanus,,defender,defender,True,120,118,120,88,-30,False,0,0,0,5,5,0,True
NanoMart_SetC_2v2_T1InfvT1Inf_SeoYoonlvl3_Vulcanus,,attacker,defender,False,318,316,318,338,20,False,1,0,-1,0,1,1,False
NanoMart_SetC_2v2_T1LanvT1Lan_SeoYoonlvl3_Vulcanus,,attacker,mutual_wipe,False,36,34,36,21,-13,False,1,0,-1,0,0,0,False
NanoMart_SetC_3v1_T1InfvT1Inf_SeoYoonlvl3_Vulcanus,,attacker,attacker,True,152,151,153,120,-31,False,3,3,0,0,0,0,True
